The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'dependency', 'class'): (reverse, can reverse, list)""]"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"[""('method', 'dependency', 'class'): (read, returned by, future)"", ""('class', 'dependency', 'method'): (future, has method, isdone)"", ""('method', 'dependency', 'method'): (read, calls, isdone)""]"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"[""('class', 'implementation', 'method'): (asynchronousfilechannel, implements, write)""]"
The int returned by the read() method tells how many bytes were written into the Buffer.,"[""('method', 'dependency', 'class'): (read, tells how many bytes were written into, buffer)"", ""('class', 'dependency', 'method'): (buffer, has bytes written into by, read)""]"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"[""('method', 'dependency', 'class'): (write, writes to, filechannel)""]"
You can obtain the current position of the FileChannel object by calling the position() method.,"[""('class', 'dependency', 'method'): (filechannel, relies on, position)"", ""('method', 'dependency', 'class'): (position, is obtained by, filechannel)""]"
The Files.createDirectory() method creates a new directory from a Path instance.,"[""('method', 'creation', 'class'): (files.createdirectory, creates, path)"", ""('method', 'dependency', 'class'): (files.createdirectory, relies on, path)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,[]
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"[""('method', 'implementation', 'class'): (walkfiletree, extends, simplefilevisitor)"", ""('method', 'dependency', 'class'): (walkfiletree, relies on, simplefilevisitor)""]"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","[""('method', 'dependency', 'method'): (visitfile, relies on for file deletion, postvisitdirectory)"", ""('method', 'dependency', 'method'): (postvisitdirectory, relies on for directory deletion, visitfile)""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.",[]
The normalize() method of the Path interface can normalize a path.,"[""('method', 'dependency', 'class'): (normalize(), can normalize a, path)"", ""('class', 'dependency', 'method'): (path, has a method of, normalize())""]"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.","[""('class', 'dependency', 'class'): (selector, registers, channel)"", ""('class', 'dependency', 'class'): (selector, returns, selectionkey)"", ""('method', 'creation', 'class'): (register, creates, selectionkey)"", ""('class', 'dependency', 'class'): (channel, is registered with, selector)"", ""('class', 'dependency', 'class'): (channel, returns, selectionkey)"", ""('method', 'dependency', 'class'): (register, is used by, channel)"", ""('class', 'dependency', 'method'): (selectionkey, is returned by, register)""]"
"You can also attach an object already while registering the Channel with the Selector, in the register() method.","[""('class', 'dependency', 'class'): (selector, relies on, channel)"", ""('class', 'dependency', 'method'): (selector, relies on, register)"", ""('class', 'dependency', 'class'): (selector, relies on, object)"", ""('class', 'dependency', 'method'): (channel, relies on, register)"", ""('class', 'containment', 'class'): (selector, contains, object)"", ""('method', 'dependency', 'class'): (register, relies on, channel)"", ""('method', 'dependency', 'class'): (register, relies on, object)""]"
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,"[""('class', 'implementation', 'interface'): (class, implements, interface)""]"
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"[""('class', 'dependency', 'method'): (classloader, calls, loadclass)"", ""('class', 'implementation', 'method'): (classloader, uses, loadclass)""]"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.","[""('class', 'dependency', 'interface'): (myaction, calls methods on, imyfactory)"", ""('class', 'dependency', 'method'): (myaction, relies on, icontainer.instance)"", ""('class', 'implementation', 'method'): (myaction, sends method calls to, icontainer.instance)""]"
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.","[""('class', 'dependency', 'method'): (class, relies on, method)"", ""('class', 'containment', 'method'): (class, contains, getters)"", ""('class', 'containment', 'method'): (class, contains, setters)"", ""('method', 'dependency', 'class'): (method, is part of, class)"", ""('method', 'similarity', 'method'): (getters, are similar to, setters)"", ""('method', 'dependency', 'method'): (getters, rely on, method)"", ""('method', 'dependency', 'method'): (setters, rely on, method)""]"
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"[""('method', 'dependency', 'method'): (class.getdeclaredfield, needs to be called together with, class.getdeclaredfields)"", ""('method', 'dependency', 'method'): (class.getdeclaredfields, is an alternative to, class.getdeclaredfield)""]"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",[]
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.","[""('method', 'dependency', 'method'): (class.getmethod, won't work because only returns public methods and is limited by this, class.getmethods)"", ""('method', 'difference', 'method'): (class.getmethod, differs from because only returns public methods and is more limited than, class.getmethods)""]"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",[]
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.","[""('class', 'containment', 'class'): (array, contains, string)"", ""('class', 'dependency', 'class'): (string, relies on, array)""]"
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",[]
"For that, you need to use the find(), start() and end() methods.","[""('method', 'dependency', 'method'): (start, used with, end)""]"
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.","[""('method', 'difference', 'method'): (lookingat, will return true whereas the other will return false, matches)"", ""('method', 'preference', 'method'): (lookingat, is preferred in certain situations over, matches)""]"
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.","[""('class', 'dependency', 'method'): (matcher, internally keeps a state about how far it has searched through the input text via, find)"", ""('method', 'dependency', 'class'): (find, is used by, matcher)""]"
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"[""('class', 'dependency', 'method'): (matcher, is used with, replaceall)"", ""('class', 'dependency', 'method'): (matcher, is used with, replacefirst)"", ""('method', 'dependency', 'class'): (replacefirst, is a method of, matcher)"", ""('method', 'dependency', 'class'): (replaceall, is a method of, matcher)""]"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",[]
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"[""('class', 'dependency', 'method'): (gzipinputstream, should be closed by, close)"", ""('method', 'dependency', 'class'): (close, is used to close, gzipinputstream)""]"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.","[""('method', 'dependency', 'method'): (bo.checkpersonisvalid, is used without, dao.readperson)"", ""('method', 'dependency', 'method'): (dao.readperson, is not used inside, bo.checkpersonisvalid)""]"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",[]
"In other words, as a call to the get() method on the HttpRequestCache singleton.","[""('method', 'dependency', 'class'): (get, is called on, httprequestcache)""]"
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"[""('class', 'dependency', 'method'): (scriptfactorybuilder, has a method, addfactories)"", ""('class', 'dependency', 'class'): (scriptfactorybuilder, takes as parameter, inputstream)""]"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().","[""('class', 'dependency', 'class'): (httpservletrequest, obtained via static methods, httpservletresponse)"", ""('class', 'dependency', 'class'): (httpservletrequest, not obtained by, threadlocal)"", ""('class', 'dependency', 'class'): (httpservletresponse, not obtained by, threadlocal)"", ""('class', 'dependency', 'method'): (httpservletrequest, obtained by, getrequest)"", ""('class', 'dependency', 'method'): (httpservletresponse, obtained by, getresponse)"", ""('method', 'dependency', 'class'): (getrequest, used to obtain, httpservletrequest)"", ""('method', 'dependency', 'class'): (getresponse, used to obtain, httpservletresponse)"", ""('class', 'implementation', 'class'): (httpservletrequest, interacts with, httpservletresponse)"", ""('class', 'implementation', 'method'): (httpservletrequest, interacts with, getrequest)"", ""('class', 'implementation', 'method'): (httpservletresponse, interacts with, getresponse)"", ""('method', 'implementation', 'method'): (getrequest, interacts with, getresponse)""]"
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",[]
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"[""('interface', 'dependency', 'method'): (iresultsetprocessor, is obtained from, getresult)"", ""('method', 'creation', 'interface'): (getresult, is used to obtain, iresultsetprocessor)""]"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","[""('method', 'dependency', 'method'): (hashcode, returns to speed up, equals)"", ""('method', 'implementation', 'method'): (equals, uses to implement, hashcode)""]"
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,"[""('class', 'implementation', 'interface'): (customobjectmapperbase, implements, icustomobjectmapper)""]"
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"[""('class', 'containment', 'method'): (iobjectmapping, has method, iobjectmapping.removegettermapping)"", ""('class', 'containment', 'method'): (iobjectmapping, has method, iobjectmapping.removesettermapping)"", ""('method', 'dependency', 'method'): (iobjectmapping.removegettermapping, used in conjunction with, iobjectmapping.removesettermapping)""]"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().","[""('method', 'similarity', 'method'): (dofirst, can be called without parentheses like, dolast)"", ""('method', 'similarity', 'method'): (dolast, can be called without parentheses like, dofirst)""]"
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"[""('method', 'dependency', 'class'): (and, is used to combine, predicate)"", ""('method', 'implementation', 'class'): (and, is used to combine, predicate)""]"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.","[""('class', 'creation', 'class'): (function, composes a new instance from, function)"", ""('method', 'dependency', 'class'): (compose, is called on, function)"", ""('class', 'implementation', 'class'): (function, is composed with, function)"", ""('method', 'creation', 'class'): (compose, creates a new function instance from, function)""]"
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"[""('method', 'dependency', 'class'): (collections.sort, takes as parameter, comparator)"", ""('method', 'implementation', 'class'): (collections.sort, interacts with, comparator)""]"
The call to the map() method of the Stream interface is a non-terminal operation.,"[""('interface', 'dependency', 'method'): (stream, call to the map() method of, map)"", ""('method', 'dependency', 'interface'): (map, is called on, stream)""]"
Only the first occurrence of this element will be included in the Stream returned by distinct().,"[""('method', 'dependency', 'class'): (distinct, returns, stream)"", ""('class', 'containment', 'method'): (stream, includes, distinct)""]"
"The findFirst() method returns an Optional from which you can obtain the element, if present.","[""('method', 'dependency', 'class'): (findfirst, returns, optional)""]"
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.","[""('class', 'dependency', 'class'): (stream, applies, java.util.function.consumer)"", ""('method', 'dependency', 'class'): (foreach, applies, java.util.function.consumer)"", ""('class', 'containment', 'class'): (stream, contains, java.util.function.consumer)"", ""('class', 'dependency', 'class'): (java.util.function.consumer, is_applied_by, stream)"", ""('method', 'implementation', 'class'): (foreach, interacts_through, java.util.function.consumer)""]"
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"[""('method', 'dependency', 'class'): (max, relies on, comparator)"", ""('method', 'implementation', 'class'): (max, is determined by, comparator)""]"
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"[""('class', 'dependency', 'method'): (optional, contains, reduce)""]"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",[]
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.","[""('class', 'dependency', 'method'): (chunk, uses, settextrise)""]"
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.","[""('class', 'dependency', 'method'): (chunk, uses, setunderline)"", ""('class', 'implementation', 'method'): (chunk, has method, setunderline)""]"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,"[""('method', 'dependency', 'class'): (write, returns value from, bytebuffer)"", ""('class', 'dependency', 'method'): (bytebuffer, is source for, write)""]"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"[""('method', 'implementation', 'method'): (put, included in batch operations with, take)"", ""('method', 'implementation', 'method'): (take, included in batch operations with, put)""]"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.","[""('method', 'implementation', 'method'): (put, is implemented with, take)"", ""('method', 'implementation', 'method'): (take, is implemented with, put)""]"
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.","[""('class', 'implementation', 'method'): (blackhole, calling consume() on, consume)""]"
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"[""('class', 'similarity', 'class'): (javax.servlet.http.httpservlet, is a base class similar to, genericservlet)""]"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"[""('class', 'dependency', 'class'): (genericservlet, extends or is extended by, httpservlet)"", ""('class', 'implementation', 'class'): (genericservlet, implements or is implemented by, httpservlet)""]"
Each test method usually tests a single method of the target class.,"[""('method', 'dependency', 'class'): (test method, tests, target class)"", ""('method', 'implementation', 'class'): (test method, tests, target class)""]"
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.","[""('method', 'dependency', 'class'): (method, is accessible to, class)""]"
"When your business logic class is separated from the boundary class, you can test the business logic class separately.","[""('class', 'dependency', 'class'): (business logic class, is separated from, boundary class)""]"
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"[""('class', 'dependency', 'class'): (myiounit, uses, outputstream)"", ""('method', 'dependency', 'class'): (myiounit.write, uses, outputstream)"", ""('class', 'implementation', 'class'): (myiounit, writes to, bytearrayoutputstream)"", ""('class', 'dependency', 'class'): (outputstream, is collected by, bytearrayoutputstream)"", ""('class', 'containment', 'class'): (bytearrayoutputstream, collects, outputstream)"", ""('method', 'implementation', 'class'): (myiounit.write, writes to, bytearrayoutputstream)"", ""('class', 'dependency', 'class'): (bytearrayoutputstream, is used by, myiounit)"", ""('class', 'dependency', 'class'): (myiounit, uses, bytearrayoutputstream)"", ""('method', 'dependency', 'class'): (myiounit.write, is part of, myiounit)""]"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"[""('class', 'dependency', 'class'): (stringreader, may also be able to use, stringwriter)"", ""('class', 'dependency', 'class'): (stringwriter, may also be able to use, stringreader)""]"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .","[""('class', 'dependency', 'class'): (bytes, is designed to be obtained from, objectpool)""]"
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"[""('class', 'dependency', 'method'): (bytesallocatormanualdefrag, call defragment() method on, defragment)"", ""('method', 'implementation', 'method'): (defragment, is implemented by, defragment())"", ""('class', 'dependency', 'method'): (bytesallocatormanualdefrag, has method, defragment())""]"
The Bytes class represents a byte sequence allocated from a shared byte array.,[]
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.","[""('class', 'containment', 'class'): (serverbootstrap, added to, channelinitializer)"", ""('class', 'implementation', 'method'): (serverbootstrap, using, childhandler)"", ""('class', 'dependency', 'method'): (channelinitializer, added by, childhandler)""]"
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.","[""('class', 'dependency', 'method'): (channelfuture, waits until the server has started by calling, sync)""]"
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"[""('class', 'dependency', 'class'): (rionobjectreader, relies on, rionobjectreaderbuilder)""]"
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"[""('class', 'dependency', 'method'): (rionobjectreader, reads, readcyclic)"", ""('class', 'implementation', 'method'): (rionobjectreader, reads, readcyclic)""]"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,[]
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"[""('class', 'dependency', 'method'): (rionreader, uses, moveinto)"", ""('class', 'dependency', 'method'): (rionreader, uses, moveoutof)"", ""('class', 'implementation', 'method'): (rionreader, implements, moveinto)"", ""('class', 'implementation', 'method'): (rionreader, implements, moveoutof)"", ""('method', 'dependency', 'method'): (moveinto, is used by, moveoutof)""]"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:","[""('class', 'implementation', 'method'): (rionwriter, uses, writefloat32)"", ""('class', 'implementation', 'method'): (rionwriter, uses, writefloat64)"", ""('method', 'difference', 'method'): (writefloat32, is different from, writefloat64)""]"
The StreamStorageFS class contains a method to read bytes from a stream block file.,"[""('method', 'dependency', 'class'): (read, relies on, streamstoragefs)""]"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.","[""('class', 'dependency', 'method'): (streamstorageblockfs, relies on for reading bytes, readbytes)"", ""('method', 'dependency', 'class'): (readbytes, reads bytes from, streamstorageblockfs)""]"
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"[""('class', 'dependency', 'method'): (streamstoragerootfs, uses, getrootdirpath)"", ""('class', 'containment', 'method'): (streamstoragerootfs, has, getrootdirpath)""]"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.","[""('class', 'implementation', 'class'): (streamstoragefs, divides records into multiple files via, streamstoragefs)"", ""('class', 'containment', 'class'): (streamstoragefs, contains records in multiple files, streamstoragefs)""]"
You can read the data stored in a Buffer using the many get...() methods.,"[""('class', 'dependency', 'method'): (buffer, relies on, get...())"", ""('method', 'dependency', 'class'): (get...(), relies on, buffer)"", ""('class', 'implementation', 'method'): (buffer, uses, get...())""]"
Notice the use of / as directory separator and the use of : as classpath entry separator.,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.","[""('class', 'dependency', 'class'): (httpclientresponse, needs to register, handler)"", ""('class', 'dependency', 'class'): (handler, is registered on, httpclientresponse)"", ""('class', 'implementation', 'method'): (handler, is passed to, handle)"", ""('class', 'dependency', 'class'): (handler, is used to access, httpclientresponse)""]"
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.","[""('class', 'dependency', 'method'): (netclient, has, close)"", ""('method', 'dependency', 'class'): (close, returns before, netclient)"", ""('class', 'implementation', 'method'): (netclient, uses, close)"", ""('method', 'dependency', 'class'): (close, has effect on, netclient)""]"
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"[""('method', 'implementation', 'method'): (send, can be done via, publish)"", ""('method', 'implementation', 'class'): (send, done via, event bus)"", ""('method', 'dependency', 'class'): (send, on, event bus)"", ""('method', 'dependency', 'class'): (publish, on, event bus)""]"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"[""('method', 'implementation', 'method'): (start, are called when the verticle is deployed, stop)"", ""('method', 'implementation', 'method'): (stop, are called when the verticle is undeployed, start)""]"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"[""('class', 'dependency', 'method'): (list, can be passed as parameter, addall)"", ""('class', 'dependency', 'method'): (set, can be passed as parameter, addall)"", ""('interface', 'dependency', 'method'): (collection, is parameter of, addall)""]"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"[""('method', 'dependency', 'method'): (lock, cannot be executed until leaving the outer synchronized block, unlock)"", ""('method', 'dependency', 'method'): (unlock, is executed after, lock)""]"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"[""('method', 'dependency', 'method'): (wait, cannot be called without notify, notify)"", ""('method', 'dependency', 'method'): (wait, cannot be called without notifyall, notifyall)"", ""('method', 'dependency', 'method'): (notify, cannot be called without notifyall, notifyall)"", ""('method', 'similarity', 'method'): (wait, similar to notify and notifyall, notify)"", ""('method', 'similarity', 'method'): (notify, similar to wait and notifyall, notifyall)"", ""('method', 'similarity', 'method'): (notifyall, similar to wait and notify, notifyall)""]"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.","[""('class', 'containment', 'method'): (arrays, contains, arrays.binarysearch)"", ""('class', 'containment', 'method'): (arrays, contains, arrays.sort)"", ""('method', 'dependency', 'method'): (arrays.sort, is used for, arrays.binarysearch)"", ""('method', 'dependency', 'method'): (arrays.binarysearch, requires, arrays.sort)""]"
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"[""('class', 'dependency', 'method'): (java.lang.threadlocal, is used by, get)"", ""('class', 'dependency', 'method'): (java.lang.threadlocal, is used by, set)"", ""('class', 'dependency', 'method'): (threadlocal, is used by, get)"", ""('class', 'dependency', 'method'): (threadlocal, is used by, set)"", ""('method', 'dependency', 'method'): (get, is related to, set)"", ""('class', 'implementation', 'method'): (java.lang.threadlocal, implements, get)"", ""('class', 'implementation', 'method'): (java.lang.threadlocal, implements, set)"", ""('class', 'implementation', 'method'): (threadlocal, implements, get)"", ""('class', 'implementation', 'method'): (threadlocal, implements, set)""]"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"[""('method', 'dependency', 'method'): (put, used with, get)"", ""('method', 'dependency', 'class'): (put, used with, map)"", ""('method', 'dependency', 'class'): (get, used with, map)""]"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (deque.polllast, is different than, deque.removelast)""]"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"[""('method', 'similarity', 'method'): (tailset, works the same way as, headset)"", ""('method', 'difference', 'method'): (tailset, returns all elements that are equal to or higher than the given parameter element instead of, headset)""]"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.","[""('class', 'dependency', 'class'): (iterator, can be obtained from, list)"", ""('class', 'dependency', 'class'): (iterator, can be obtained from, set)"", ""('class', 'dependency', 'class'): (iterator, can be obtained from, map)"", ""('class', 'dependency', 'class'): (iterator, can be obtained from, queue)"", ""('class', 'dependency', 'class'): (iterator, can be obtained from, deque)"", ""('class', 'similarity', 'class'): (list, is similar to, set)"", ""('class', 'similarity', 'class'): (list, is similar to, map)"", ""('class', 'similarity', 'class'): (list, is similar to, queue)"", ""('class', 'similarity', 'class'): (list, is similar to, deque)"", ""('class', 'similarity', 'class'): (set, is similar to, map)"", ""('class', 'similarity', 'class'): (set, is similar to, queue)"", ""('class', 'similarity', 'class'): (set, is similar to, deque)"", ""('class', 'similarity', 'class'): (map, is similar to, queue)"", ""('class', 'similarity', 'class'): (map, is similar to, deque)"", ""('class', 'similarity', 'class'): (queue, is similar to, deque)""]"
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,"[""('class', 'dependency', 'class'): (java.io.writer, works like combining with, reader)"", ""('class', 'dependency', 'class'): (java.io.writer, works like combining with, inputstream)"", ""('class', 'dependency', 'class'): (java.io.writer, works like combining with, outputstream)"", ""('class', 'similarity', 'class'): (java.io.writer, works just like, reader)"", ""('class', 'similarity', 'class'): (java.io.writer, works just like, inputstream)"", ""('class', 'similarity', 'class'): (java.io.writer, works just like, outputstream)"", ""('class', 'similarity', 'class'): (reader, works just like combining with, inputstream)"", ""('class', 'similarity', 'class'): (reader, works just like combining with, outputstream)"", ""('class', 'similarity', 'class'): (inputstream, works just like combining with, outputstream)""]"
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"[""('method', 'dependency', 'method'): (wait, relies on, notify)"", ""('method', 'implementation', 'class'): (wait, interacts through, mywaitnotify)"", ""('method', 'implementation', 'class'): (notify, interacts through, mywaitnotify)"", ""('class', 'dependency', 'method'): (mywaitnotify, relies on, wait)"", ""('class', 'dependency', 'method'): (mywaitnotify, relies on, notify)""]"
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"[""('class', 'conversion', 'class'): (string, copied into, stringbuilder)"", ""('class', 'conversion', 'class'): (stringbuilder, copied into, string)"", ""('class', 'dependency', 'class'): (string, grows, stringbuilder)"", ""('class', 'conversion', 'class'): (string, created from, stringbuilder)""]"
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"[""('method', 'similarity', 'method'): (logp, works like, log)"", ""('method', 'dependency', 'method'): (logp, takes extra parameters like, log)""]"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,"[""('method', 'dependency', 'method'): (lock, relies on for wait operation, queueobject.wait)"", ""('method', 'dependency', 'method'): (queueobject.notify, requires waiting thread from, lock)"", ""('method', 'dependency', 'method'): (queueobject.wait, relies on notification from, queueobject.notify)""]"
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"[""('class', 'dependency', 'class'): (pipedoutputstream, is a subclass of, outputstream)"", ""('class', 'similarity', 'class'): (pipedoutputstream, has the same basic methods and use patterns as, outputstream)""]"
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"[""('class', 'conversion', 'class'): (set, can be converted to, list)"", ""('class', 'dependency', 'method'): (list, relies on addall method of, addall)"", ""('class', 'creation', 'class'): (list, is created from, set)"", ""('class', 'dependency', 'method'): (set, relies on addall method of, addall)""]"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,[]
Again here the first() and next() methods return the unicode index of the found word boundary,"[""('method', 'dependency', 'method'): (first, return the unicode index of the found word boundary, next)"", ""('method', 'dependency', 'method'): (next, return the unicode index of the found word boundary, first)""]"
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"[""('method', 'dependency', 'method'): (contains, will not use, equals)"", ""('method', 'dependency', 'method'): (equals, is used by, contains)""]"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,[]
If you need an integer value use the round() floor() or ceil() method,"[""('method', 'similarity', 'method'): (round, can be used as an alternative to, floor)"", ""('method', 'similarity', 'method'): (round, can be used as an alternative to, ceil)"", ""('method', 'similarity', 'method'): (floor, can be used as an alternative to, ceil)""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"[""('method', 'difference', 'method'): (poll, behaves differently when the queue is empty, remove)"", ""('method', 'dependency', 'class'): (poll, returns null if empty, queue)"", ""('method', 'dependency', 'class'): (remove, throws exception if empty, queue)""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","[""('method', 'difference', 'method'): (add, differ in behavior when the queue is full, offer)"", ""('method', 'dependency', 'class'): (add, throws an exception when full, queue)"", ""('method', 'dependency', 'class'): (offer, returns false when full, queue)"", ""('method', 'difference', 'method'): (offer, return false instead of throwing an exception, add)""]"
