The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'modification', 'class'): (collections.reverse(), reverse the elements, list)""]"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:","[""('method', 'collaboration', 'method'): (writefloat32(), use, writefloat64())""]"
The StreamStorageFS class contains a method to read bytes from a stream block file.,"[""('class', 'containment', 'method'): (streamstoragefs, contains, read)""]"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.","[""('method', 'collaboration', 'class'): (readbytes, reads bytes from, streamstorageblockfs)""]"
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"[""('class', 'collaboration', 'method'): (streamstoragerootfs, obtain the root directory path via, getrootdirpath())""]"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.","[""('class', 'containment', 'class'): (streamstoragefs, divide records into multiple files, streamstoragefs)""]"
You can read the data stored in a Buffer using the many get...() methods.,"[""('method', 'access', 'class'): (get...(), read, buffer)""]"
Notice the use of / as directory separator and the use of : as classpath entry separator.,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.","[""('class', 'collaboration', 'method'): (httpclientresponse, passed as parameter to, handle())""]"
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.","[""('class', 'collaboration', 'method'): (netclient, use, close())""]"
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"[""('method', 'collaboration', 'method'): (send(), can be done via, publish())""]"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"[""('method', 'collaboration', 'method'): (start(), called when the verticle is deployed, stop())"", ""('method', 'collaboration', 'method'): (stop(), called when the verticle is undeployed, start())""]"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"[""('method', 'collaboration', 'interface'): (addall(), takes as parameter, collection)"", ""('method', 'collaboration', 'interface'): (addall(), pass as parameter, list)"", ""('method', 'collaboration', 'interface'): (addall(), pass as parameter, set)""]"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"[""('method', 'dependency', 'method'): (unlock(), execute, lock())""]"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"[""('method', 'collaboration', 'method'): (wait(), call, notify())"", ""('method', 'collaboration', 'method'): (wait(), call, notifyall())"", ""('method', 'collaboration', 'method'): (notify(), call, notifyall())""]"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.","[""('class', 'containment', 'method'): (arrays, contains methods called, binarysearch())"", ""('class', 'containment', 'method'): (arrays, contains methods called, sort())"", ""('class', 'collaboration', 'method'): (arrays, perform a binary search in, binarysearch())"", ""('class', 'collaboration', 'method'): (arrays, sort via, sort())""]"
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"[""('class', 'collaboration', 'method'): (java.lang.threadlocal, get() is called, get())"", ""('class', 'collaboration', 'method'): (java.lang.threadlocal, set() has been called, set())""]"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"[""('method', 'collaboration', 'method'): (put(), using, get())""]"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (deque.polllast(), is different than, removelast())""]"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"[""('method', 'similarity', 'method'): (tailset(), works the same way as, headset())""]"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.","[""('interface', 'containment', 'interface'): (iterator, obtain from, list)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, set)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, map)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, queue)"", ""('interface', 'containment', 'interface'): (iterator, obtain from, deque)""]"
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,"[""('class', 'similarity', 'class'): (java.io.writer, works just like, java.io.reader)"", ""('class', 'similarity', 'class'): (java.io.writer, works just like, java.io.inputstream)"", ""('class', 'similarity', 'class'): (java.io.writer, works just like, java.io.outputstream)""]"
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"[""('method', 'collaboration', 'method'): (wait(), call, notify())""]"
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"[""('class', 'conversion', 'class'): (string, copy the characters from, stringbuilder)""]"
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"[""('method', 'similarity', 'method'): (logp(), work like, log())""]"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,"[""('method', 'dependency', 'method'): (lock(), waiting, wait())""]"
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"[""('class', 'containment', 'class'): (pipedoutputstream, is a subclass of, outputstream)""]"
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"[""('class', 'conversion', 'class'): (set, convert to, list)"", ""('class', 'collaboration', 'method'): (set, pass as parameter to, addall())"", ""('class', 'collaboration', 'method'): (list, call, addall())""]"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,"[""('class', 'collaboration', 'class'): (inputstream, communication happens via, outputstream)""]"
Again here the first() and next() methods return the unicode index of the found word boundary,"[""('method', 'collaboration', 'method'): (first(), return, next())""]"
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"[""('method', 'collaboration', 'method'): (contains(), use, equals())""]"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"[""('class', 'replacement', 'class'): (file, substitute, filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"[""('method', 'collaboration', 'method'): (round(), use, floor())"", ""('method', 'collaboration', 'method'): (round(), use, ceil())"", ""('method', 'collaboration', 'method'): (floor(), use, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"[""('method', 'difference', 'method'): (poll(), behavior when queue is empty, remove())"", ""('method', 'collaboration', 'interface'): (poll(), removes first element, queue)"", ""('method', 'collaboration', 'interface'): (remove(), removes first element, queue)""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","[""('method', 'difference', 'method'): (add(), differ in behavior when full, offer())"", ""('method', 'collaboration', 'class'): (add(), method, queue)"", ""('method', 'collaboration', 'class'): (offer(), method, queue)""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"[""('method', 'collaboration', 'method'): (ceilingentry(), covered in the following sections, floorentry())"", ""('method', 'collaboration', 'method'): (ceilingentry(), covered in the following sections, higherentry())"", ""('method', 'collaboration', 'method'): (ceilingentry(), covered in the following sections, lowerentry())"", ""('method', 'collaboration', 'method'): (floorentry(), covered in the following sections, higherentry())"", ""('method', 'collaboration', 'method'): (floorentry(), covered in the following sections, lowerentry())"", ""('method', 'collaboration', 'method'): (higherentry(), covered in the following sections, lowerentry())""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"[""('method', 'collaboration', 'method'): (take(), guard the critical section, release())""]"
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"[""('class', 'collaboration', 'class'): (inputstream, read data from, outputstream)"", ""('class', 'collaboration', 'class'): (outputstream, write data to, inputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,[]
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"[""('class', 'creation', 'class'): (java.io.printwriter, creates, java.io.filewriter)""]"
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"[""('method', 'creation', 'class'): (inputstream.read(), creates, asynchronousfilechannel)"", ""('method', 'creation', 'class'): (inputstream.read(), creates, bytebuffer)"", ""('method', 'collaboration', 'method'): (inputstream.read(), passed to, read())""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"[""('class', 'collaboration', 'class'): (java.lang.stringbuffer, use, simpledateformat)""]"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"[""('method', 'collaboration', 'method'): (marksupported(), supports, mark())"", ""('method', 'collaboration', 'method'): (marksupported(), supports, reset())"", ""('method', 'collaboration', 'class'): (marksupported(), find out if supported on, inputstream)"", ""('method', 'collaboration', 'class'): (marksupported(), supports, bufferedinputstream)""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","[""('method', 'collaboration', 'method'): (newline(), write a new-line character, flush())""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (queue.poll(), different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"[""('method', 'collaboration', 'method'): (set(), synchronized blocks, get())""]"
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","[""('method', 'difference', 'method'): (replace(), works differently from, put())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"[""('method', 'similarity', 'method'): (logrb(), work like, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"[""('class', 'collaboration', 'class'): (java.util.logging.handler, use, java.util.logging.formatter)"", ""('class', 'collaboration', 'class'): (java.util.logging.handler, format, java.util.logging.logrecord)""]"
