The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, reverse the elements of, list)', 'dependency: (reverse, method requires, list)']","[""('class', 'modification', 'class'): (collections, reverse the elements of, list)""]"
Each test method usually tests a single method of the target class.,,[]
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",,[]
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",,[]
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,,[]
You may also be able to use the StringReader and StringWriter classes in your unit tests.,,[]
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",,[]
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,,[]
The Bytes class represents a byte sequence allocated from a shared byte array.,,[]
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.",,[]
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.",,[]
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,,[]
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,,[]
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,,[]
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,,[]
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:",,[]
The StreamStorageFS class contains a method to read bytes from a stream block file.,,[]
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",,[]
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,,[]
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.",,[]
You can read the data stored in a Buffer using the many get...() methods.,,[]
Notice the use of / as directory separator and the use of : as classpath entry separator.,,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.",,[]
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",,[]
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,,[]
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,,[]
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,,[]
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,,[]
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,,[]
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.",,[]
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,,[]
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,,[]
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,,[]
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,,[]
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.",,[]
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,,[]
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,,[]
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,,[]
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,,[]
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,,[]
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,,[]
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,,[]
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,,[]
Again here the first() and next() methods return the unicode index of the found word boundary,,[]
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,,[]
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"['comparison: (file, works but in case you want a pure java nio solution use, filechannel)']","[""('class', 'comparison', 'class'): (file, works but in case you want a pure java nio solution use, filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"['comparison: (round(), evaluates_similarity, floor())', 'comparison: (round(), evaluates_similarity, ceil())', 'comparison: (floor(), evaluates_similarity, ceil())']","[""('method', 'comparison', 'method'): (round(), evaluates_similarity, floor())"", ""('method', 'comparison', 'method'): (round(), evaluates_similarity, ceil())"", ""('method', 'comparison', 'method'): (floor(), evaluates_similarity, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"['comparison: (poll(), behavior difference, remove())', 'exception: (remove(), throws an exception if empty, queue)', 'return: (poll(), returns null if empty, queue)']","[""('method', 'comparison', 'method'): (poll(), behavior difference, remove())"", ""('method', 'return', 'class'): (poll(), returns null if empty, queue)""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","['comparison: (add(), differ in behavior if the queue is full, offer())', 'exception: (add(), throws an exception if the queue is full, offer())', 'return: (offer(), returns false if the queue is full, add())']","[""('method', 'comparison', 'method'): (add(), differ in behavior if the queue is full, offer())"", ""('method', 'return', 'method'): (offer(), returns false if the queue is full, add())""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"['containment: (ceilingentry(), covered_with, floorentry())', 'containment: (ceilingentry(), covered_with, higherentry())', 'containment: (ceilingentry(), covered_with, lowerentry())', 'containment: (floorentry(), covered_with, higherentry())', 'containment: (floorentry(), covered_with, lowerentry())', 'containment: (higherentry(), covered_with, lowerentry())']","[""('method', 'containment', 'method'): (ceilingentry(), covered_with, floorentry())"", ""('method', 'containment', 'method'): (ceilingentry(), covered_with, higherentry())"", ""('method', 'containment', 'method'): (ceilingentry(), covered_with, lowerentry())"", ""('method', 'containment', 'method'): (floorentry(), covered_with, higherentry())"", ""('method', 'containment', 'method'): (floorentry(), covered_with, lowerentry())"", ""('method', 'containment', 'method'): (higherentry(), covered_with, lowerentry())""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"['collaboration: (take(), guard the critical section, release())']",[]
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"['collaboration: (inputstream, interacts_with, outputstream)']","[""('class', 'collaboration', 'class'): (inputstream, interacts_with, outputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"['dependency: (hashcode(), correct implementation reliance, equals())']","[""('method', 'dependency', 'method'): (hashcode(), correct implementation reliance, equals())""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"['creation: (java.io.printwriter, creates a, java.io.filewriter)']",[]
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"['creation: (inputstream.read(), creates, asynchronousfilechannel)', 'creation: (inputstream.read(), creates, bytebuffer)', 'containment: (inputstream.read(), passed_to, read())', 'collaboration: (asynchronousfilechannel, interacts_with, bytebuffer)', 'dependency: (asynchronousfilechannel, prerequisite_for, read())', 'dependency: (bytebuffer, condition_for, read())']","[""('method', 'creation', 'class'): (inputstream.read(), creates, asynchronousfilechannel)"", ""('method', 'creation', 'class'): (inputstream.read(), creates, bytebuffer)"", ""('method', 'containment', 'method'): (inputstream.read(), passed_to, read())"", ""('class', 'collaboration', 'class'): (asynchronousfilechannel, interacts_with, bytebuffer)"", ""('class', 'dependency', 'method'): (asynchronousfilechannel, prerequisite_for, read())"", ""('class', 'dependency', 'method'): (bytebuffer, condition_for, read())""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"['dependency: (java.lang.stringbuffer, explains usage of, simpledateformat)']","[""('class', 'dependency', 'class'): (java.lang.stringbuffer, explains usage of, simpledateformat)""]"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"['containment: (bufferedinputstream, wraps, inputstream)']","[""('class', 'containment', 'class'): (bufferedinputstream, wraps, inputstream)""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","['dependency: (newline(), method functionality, flush())']","[""('method', 'dependency', 'method'): (newline(), method functionality, flush())""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"['comparison: (queue.poll(), different than, remove())', 'exception: (remove(), throws an exception if, deque)']","[""('method', 'comparison', 'method'): (queue.poll(), different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"['collaboration: (set(), synchronized_blocks_interaction, get())']",[]
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","['comparison: (replace(), inserts conditionally, put())']","[""('method', 'comparison', 'method'): (replace(), inserts conditionally, put())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"['equivalence: (logrb(), work like, log())']","[""('method', 'equivalence', 'method'): (logrb(), work like, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"['dependency: (logrecord, written_by, java.util.logging)']",[]
